[2026-07-06T05:44:03.117Z] GET http://localhost:8765/?v=9 → 200 (6ms, 83211B)
[2026-07-06T05:44:03.126Z] GET https://www.googletagmanager.com/gtag/js?id=G-JLHW59CHY6 → pending (?ms, ?B)
[2026-07-06T05:44:03.126Z] GET https://fonts.googleapis.com/css2?family=Inter:ital,wght@0,300;0,400;0,500;0,600;0,900;1,300;1,400&family=Cormorant+Garamond:ital,wght@0,500;0,600;0,700;1,500;1,600;1,700&family=Noto+Sans+JP:wght@300;400;500;600&family=Shippori+Mincho+B1:wght@400;500;600;700;800&display=swap → pending (?ms, ?B)
[2026-07-06T05:44:03.126Z] GET http://localhost:8765/hanjo-logo.svg → 200 (3ms, 8929B)
[2026-07-06T05:44:03.126Z] GET http://localhost:8765/kei.JPG → 200 (4ms, 436730B)
[2026-07-06T05:44:03.126Z] GET http://localhost:8765/moncheri-logo.png → 200 (5ms, 7982B)
[2026-07-06T05:44:03.484Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-JLHW59CHY6&gtm=45je66u1v9244127948za200zd9244127948&_p=1783316643126&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=583239672.1783316643&frm=0&pscdl=noapi&rcb=11&sr=1440x900&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.2.0&uaw=0&ul=en-us&_s=1&tag_exp=115616986~115938466~115938469~118897920~118897930~119027224~119576881~119576885~119576891~119576895&sid=1783316643&sct=1&seg=0&dl=http%3A%2F%2Flocalhost%2F%3Fv%3D9&dt=Kei%20Nakayama%20%C2%B7%20Klaviyo%20retention%20for%20DTC%20brands&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=365 → 204 (116ms, ?B)
[2026-07-06T05:44:03.563Z] GET http://localhost:8765/email-showcase/mon-campaign.jpg → 200 (7ms, 54683B)
[2026-07-06T05:44:03.563Z] GET http://localhost:8765/email-showcase/mira-welcome.jpg → 200 (8ms, 56199B)
[2026-07-06T05:44:03.563Z] GET http://localhost:8765/email-showcase/andew-product.jpg → 200 (8ms, 51302B)
[2026-07-06T05:44:03.564Z] GET http://localhost:8765/email-showcase/andew-welcome.jpg → 200 (6ms, 49805B)
[2026-07-06T05:44:03.564Z] GET http://localhost:8765/email-showcase/mon-newspaper.jpg → 200 (7ms, 74054B)
[2026-07-06T05:44:03.564Z] GET http://localhost:8765/email-showcase/mira-replen.jpg → 200 (6ms, 42856B)
[2026-07-06T05:44:03.586Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (227ms, 48983B)
[2026-07-06T05:44:03.586Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (263ms, 37912B)
[2026-07-06T05:44:03.586Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (268ms, 39439B)
[2026-07-06T05:44:03.586Z] GET https://fonts.gstatic.com/s/inter/v20/UcC53FwrK3iLTcvneQg7Ca725JhhKnNqk6L5UUMbndwV.woff2 → 200 (264ms, 51781B)
[2026-07-06T05:50:58.741Z] GET http://localhost:8765/?v=10 → 200 (8ms, 83956B)
[2026-07-06T05:50:58.793Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-JLHW59CHY6&gtm=45je66u1v9244127948za200zd9244127948&_p=1783316643126&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&are=1&cid=583239672.1783316643&frm=0&pscdl=noapi&rcb=11&sr=1440x900&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.2.0&uaw=0&ul=en-us&_s=2&tag_exp=115616986~115938466~115938469~118897920~118897930~119027224~119576881~119576885~119576891~119576895&sid=1783316643&sct=1&seg=1&dl=http%3A%2F%2Flocalhost%2F%3Fv%3D9&dt=Kei%20Nakayama%20%C2%B7%20Klaviyo%20retention%20for%20DTC%20brands&en=user_engagement&_et=415274&tfd=415673 → pending (?ms, ?B)
[2026-07-06T05:50:58.793Z] POST https://www.google.com/g/collect?v=2&tid=G-JLHW59CHY6&gtm=45je66u1v9244127948za200zd9244127948&_p=1783316643126&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&are=1&cid=583239672.1783316643&frm=0&pscdl=noapi&rcb=11&sr=1440x900&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.2.0&uaw=0&ul=en-us&_s=2&tag_exp=115616986%7E115938466%7E115938469%7E118897920%7E118897930%7E119027224%7E119576881%7E119576885%7E119576891%7E119576895&sid=1783316643&sct=1&seg=1&dl=http%3A%2F%2Flocalhost%2F%3Fv%3D9&dt=Kei+Nakayama+%C2%B7+Klaviyo+retention+for+DTC+brands&en=user_engagement&_et=415274&tfd=415673&gaf=1 → pending (?ms, ?B)
[2026-07-06T05:50:58.800Z] GET https://www.googletagmanager.com/gtag/js?id=G-JLHW59CHY6 → 200 (130ms, -522B)
[2026-07-06T05:50:58.802Z] GET https://fonts.googleapis.com/css2?family=Inter:ital,wght@0,300;0,400;0,500;0,600;0,900;1,300;1,400&family=Cormorant+Garamond:ital,wght@0,500;0,600;0,700;1,500;1,600;1,700&family=Noto+Sans+JP:wght@300;400;500;600&family=Shippori+Mincho+B1:wght@400;500;600;700;800&display=swap → 200 (7ms, -698B)
[2026-07-06T05:50:58.802Z] GET http://localhost:8765/hanjo-logo.svg → 200 (?ms, -190B)
